Week,gmv,Discount%,deliverybdays,deliverycdays,sla,product_procurement_sla,is_cod,is_mass_market,product_vertical_cameraaccessory,product_vertical_camerabag,product_vertical_camerabattery,product_vertical_camerabatterycharger,product_vertical_camerabatterygrip,product_vertical_cameraeyecup,product_vertical_camerafilmrolls,product_vertical_camerahousing,product_vertical_cameraledlight,product_vertical_cameramicrophone,product_vertical_cameramount,product_vertical_cameraremotecontrol,product_vertical_cameratripod,product_vertical_extensiontube,product_vertical_filter,product_vertical_flash,product_vertical_flashshoeadapter,product_vertical_lens,product_vertical_reflectorumbrella,product_vertical_softbox,product_vertical_strap,product_vertical_teleconverter,product_vertical_telescope,payday_week,holiday_week,Total Investment,Total Investment_SMA_3,Total Investment_SMA_5,Total Investment_EMA_8,Total_Investment_Ad_Stock,TV,TV_SMA_3,TV_SMA_5,TV_EMA_8,TV_Ad_Stock,Digital,Digital_SMA_3,Digital_SMA_5,Digital_EMA_8,Digital_Ad_Stock,Sponsorship,Sponsorship_SMA_3,Sponsorship_SMA_5,Sponsorship_EMA_8,Sponsorship_Ad_Stock,Content Marketing,Content Marketing_SMA_3,Content Marketing_SMA_5,Content Marketing_EMA_8,Content_Marketing_Ad_Stock,Online marketing,Online marketing_SMA_3,Online marketing_SMA_5,Online marketing_EMA_8,Online_marketing_Ad_Stock,Affiliates,Affiliates_SMA_3,Affiliates_SMA_5,Affiliates_EMA_8,Affiliates_Ad_Stock,SEM,SEM_SMA_3,SEM_SMA_5,SEM_EMA_8,SEM_Ad_Stock,Radio,Radio_SMA_3,Radio_SMA_5,Radio_EMA_8,Radio_Ad_Stock,Other,Other_SMA_3,Other_SMA_5,Other_EMA_8,Other_Ad_Stock,NPS,NPS_SMA_3,NPS_SMA_5,Stock Index,Stock Index_SMA_3,Stock Index_SMA_5,Max Temp,Min Temp,Mean Temp,Heat Deg Days,Cool Deg Days,Total Rain (mm),Total Snow (cm),Total Precip (mm),Snow on Grnd (cm),Sale
28,3975505.0,43.97108202443286,0.0,0.0,6.959162303664922,2.7808027923211167,0.6663176265270506,0.8897033158813263,46,333.0,690.0,223.0,18,0,0,0,0,0,4,141.0,435.0,0,220.0,26.0,0,489.0,0,0,13,0,16,0,0,4.265,0.0,0.0,4.265,4.265,0.054,0.0,0.0,0.054,0.054,0.633,0.0,0.0,0.633,0.633,1.854,0.0,0.0,1.854,1.854,0.0,0.0,0.0,0.0,0.0,0.332,0.0,0.0,0.332,0.332,0.137,0.0,0.0,0.137,0.137,1.256,0.0,0.0,1.256,1.256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.599588092376216,0.0,0.0,1177.0,0.0,0.0,28.0,12.5,20.099999999999998,0.2833333333333333,2.3833333333333333,4.416666666666667,0.0,4.416666666666667,0.0,0
29,4390316.0,44.334866796621114,0.0,0.0,6.395061728395062,2.8128654970760234,0.6604938271604939,0.8866146848602989,36,356.0,752.0,225.0,9,0,0,0,0,0,11,142.0,495.0,0,186.0,27.0,0,526.0,0,0,24,0,22,1,0,4.265,0.0,0.0,4.265,6.824,0.054,0.0,0.0,0.054,0.0864,0.633,0.0,0.0,0.633,1.0128,1.854,0.0,0.0,1.854,2.9664,0.0,0.0,0.0,0.0,0.0,0.332,0.0,0.0,0.332,0.5312,0.137,0.0,0.0,0.137,0.2192,1.256,0.0,0.0,1.256,2.0096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.599588092376216,0.0,0.0,1177.0,0.0,0.0,33.0,11.0,23.183333333333334,0.0,5.183333333333334,1.4000000000000001,0.0,1.4000000000000001,0.0,2
30,4368719.0,43.6081005586592,0.0026289845547157412,0.0052579691094314825,6.414393690437069,2.8659217877094973,0.674663161353927,0.8889254025632599,48,295.0,773.0,267.0,12,0,0,0,0,0,7,108.0,465.0,0,186.0,31.0,0,573.0,0,0,23,0,30,0,0,4.265,4.265,0.0,4.265,8.359399999999999,0.054,0.054,0.0,0.054,0.10584,0.633,0.633,0.0,0.633,1.2406799999999998,1.854,1.854,0.0,1.854,3.63384,0.0,0.0,0.0,0.0,0.0,0.332,0.332,0.0,0.332,0.65072,0.137,0.137,0.0,0.137,0.26852,1.256,1.256,0.0,1.256,2.46176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.599588092376216,54.599588092376216,0.0,1177.0,1177.0,0.0,31.5,14.5,23.06,0.0,5.0600000000000005,1.08,0.0,1.08,0.0,0
31,2790458.0,42.9996127110229,0.0,0.0,6.37090367428004,2.823237338629593,0.6981132075471698,0.8887785501489573,45,185.0,484.0,180.0,11,0,0,0,0,0,2,84.0,360.0,1,109.0,28.0,0,331.0,0,0,23,0,13,1,0,4.265,4.265,0.0,4.265,9.280639999999998,0.054,0.054,0.0,0.054,0.117504,0.633,0.633,0.0,0.633,1.377408,1.854,1.854,0.0,1.854,4.034304000000001,0.0,0.0,0.0,0.0,0.0,0.332,0.332,0.0,0.332,0.722432,0.137,0.137,0.0,0.137,0.298112,1.256,1.256,0.0,1.256,2.733056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.599588092376216,54.599588092376216,0.0,1177.0,1177.0,0.0,33.5,16.0,24.566666666666666,0.0,6.566666666666666,4.633333333333334,0.0,4.633333333333334,0.0,0
32,2198.0,12.9475,0.0,0.0,9.0,4.0,0.25,1.0,0,0.0,3.0,0.0,0,0,0,0,0,0,0,0.0,1.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1.013,3.1809999999999996,3.6146000000000003,3.542333333333333,6.581383999999999,0.001,0.036333333333333336,0.0434,0.042222222222222223,0.0715024,0.256,0.5073333333333333,0.5576000000000001,0.5492222222222223,1.0824448,0.213,1.3070000000000002,1.5258,1.4893333333333334,2.6335824000000003,0.0,0.0,0.0,0.0,0.0,0.026,0.23,0.27080000000000004,0.264,0.4594592,0.015,0.09633333333333334,0.1126,0.1098888888888889,0.19386719999999996,0.503,1.0050000000000001,1.1054,1.0886666666666667,2.1428336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.987101024,56.39542573625081,55.67709067870097,1206.0,1186.6666666666667,1182.8,28.5,15.0,21.65,0.0,3.65,0.35,0.0,0.35,0.0,0
33,299.0,84.97,0.0,0.0,6.0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,1.0,0,0.0,0.0,0,0.0,0,0,0,0,0,1,0,1.013,2.097,2.9641999999999995,2.980259259259259,4.961830399999999,0.001,0.018666666666666668,0.0328,0.03306172839506173,0.04390143999999999,0.256,0.38166666666666665,0.4822,0.4840617283950618,0.90546688,0.213,0.7600000000000001,1.1976,1.2057037037037037,1.7931494400000003,0.0,0.0,0.0,0.0,0.0,0.026,0.128,0.2096,0.2111111111111111,0.30167552000000003,0.015,0.05566666666666667,0.08820000000000001,0.08880246913580248,0.13132032,0.503,0.754,0.9548,0.9585185185185185,1.7887001599999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.987101024,58.191263380125406,56.75459326502573,1206.0,1196.3333333333333,1188.6,31.0,14.5,23.95,0.0,5.95,2.9,0.0,2.9,0.0,2
35,1190.0,40.96333333333333,0.0,0.0,9.333333333333334,2.0,0.3333333333333333,1.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,3.0,0,0,0,0,0,1,0,1.013,1.013,1.6634,2.2030704160951076,3.4070589439999996,0.001,0.001,0.0116,0.020395366559975613,0.0174045184,0.256,0.256,0.33140000000000003,0.39396326779454355,0.7355680767999999,0.213,0.213,0.5412,0.8135244627343393,0.9863337984000001,0.0,0.0,0.0,0.0,0.0,0.026,0.026,0.0872,0.13798079561042523,0.1502031872,0.015,0.015,0.039400000000000004,0.05964593811918915,0.0712753152,0.503,0.503,0.6536,0.7785605852766346,1.4487320575999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.987101024,59.987101024,58.90959843767524,1206.0,1206.0,1200.2,29.0,14.0,20.25,0.75,3.0,0.0,0.0,0.0,0.0,3
36,3785414.0,43.914631258457106,0.0,0.0,6.520974289580514,2.8711096075778078,0.6999323410013532,0.9089986468200271,43,249.0,755.0,174.0,7,0,14,0,0,0,19,124.0,550.0,0,175.0,184.0,0,431.0,0,0,14,0,33,1,0,1.013,1.013,1.013,1.938610323629528,3.0572353663999996,0.001,0.001,0.001,0.016085285102203254,0.011442711039999998,0.256,0.256,0.256,0.36330476384020055,0.6973408460799999,0.213,0.213,0.213,0.6800745821267083,0.8048002790400001,0.0,0.0,0.0,0.0,0.0,0.026,0.026,0.026000000000000002,0.11309617436366406,0.11612191231999999,0.015,0.015,0.015,0.04972461853714712,0.05776518912,0.503,0.503,0.503,0.7173248996596047,1.3722392345599999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.987101024,59.987101024,59.987101024000005,1206.0,1206.0,1206.0,32.0,17.5,24.46,0.0,6.459999999999999,12.120000000000001,0.0,12.120000000000001,0.0,0
37,4940480.0,44.8591517730498,0.0036879432624113474,0.00425531914893617,6.38354609929078,2.9588652482269504,0.6916312056737589,0.8939007092198582,45,278.0,740.0,226.0,9,0,6,0,0,0,12,160.0,783.0,0,259.0,204.0,0,507.0,0,0,22,0,26,0,0,24.064,8.696666666666667,5.6232,6.855363585045188,25.89834121984,0.97,0.324,0.1948,0.22806633285726918,0.976865626624,0.339,0.2836666666666667,0.2726,0.3579037052090449,0.7574045076479999,15.697,5.3743333333333325,3.3098,4.017169119431884,16.179880167424,0.153,0.051,0.0306,0.033999999999999996,0.153,4.095,1.3823333333333332,0.8398,0.9979636911717387,4.164673147392,1.26,0.43,0.264,0.31867470330666997,1.294659113472,1.551,0.8523333333333333,0.7125999999999999,0.9025860330685813,2.3743435407359996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.925418687263985,55.633206911754655,57.37476455665279,1101.0,1171.0,1185.0,32.5,9.0,19.240000000000002,1.28,2.52,0.96,0.0,0.96,0.0,0
38,4704533.0,44.690040523690755,0.0024937655860349127,0.00903990024937656,6.639650872817955,2.9292394014962593,0.7023067331670823,0.8924563591022444,51,277.0,615.0,175.0,8,0,16,0,0,0,16,140.0,614.0,2,220.0,253.0,0,565.0,0,0,15,0,31,1,0,24.064,16.380333333333333,10.2334,10.679505010590702,39.603004731904,0.97,0.6469999999999999,0.3886,0.3929404811112093,1.5561193759743999,0.339,0.31133333333333335,0.2892,0.35370288182925713,0.7934427045888,15.697,10.535666666666666,6.4066,6.6126870928914645,25.4049281004544,0.153,0.102,0.0612,0.06044444444444444,0.2448,4.095,2.7386666666666666,1.6536000000000002,1.6861939820224632,6.5938038884351995,1.26,0.8450000000000001,0.5130000000000001,0.5278581025718544,2.0367954680832,1.551,1.2016666666666669,0.9221999999999999,1.0466780257200077,2.9756061244415997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.925418687263985,51.27931279950932,54.762428089305594,1101.0,1136.0,1164.0,27.5,13.0,20.55,0.0,2.55,1.1,0.0,1.1,0.0,0
39,4501616.0,48.38993239090378,0.0,0.0,6.253226797787339,3.1398279041180084,0.7191149354640443,0.8979717271051014,52,247.0,598.0,186.0,11,0,24,0,0,0,17,132.0,866.0,1,216.0,146.0,0,484.0,0,0,22,0,26,0,0,24.064,24.064000000000004,14.843599999999999,13.653837230459436,47.8258028391424,0.97,0.9700000000000001,0.5824,0.5211759297531627,1.9036716255846398,0.339,0.339,0.3058,0.3504355747560889,0.81506562275328,15.697,15.696999999999997,9.5034,8.631423294471139,30.939956860272638,0.153,0.153,0.09179999999999999,0.08101234567901233,0.29988,4.095,4.095,2.4674,2.2214842082396933,8.051282333061119,1.26,1.26,0.762,0.6905563020003311,2.4820772808499196,1.551,1.5510000000000002,1.1317999999999997,1.158749575560006,3.33636367466496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.925418687263985,46.92541868726399,52.150091621958396,1101.0,1101.0,1143.0,25.5,14.5,20.0,0.0,2.0,0.0,0.0,0.0,0.0,0
40,4935135.0,57.83894391534335,0.0,0.0,5.660952380952381,2.594074074074074,0.7923809523809524,0.9301587301587302,44,225.0,593.0,181.0,11,0,20,0,0,0,11,118.0,2302.0,0,216.0,148.0,0,532.0,0,0,27,0,20,1,0,24.064,24.064000000000004,19.4538,15.967206734801783,52.759481703485434,0.97,0.9699999999999999,0.7762,0.6209146120302377,2.112202975350784,0.339,0.339,0.3224,0.3478943359214025,0.828039373651968,15.697,15.696999999999997,12.6002,10.20155145125533,34.26097411616358,0.153,0.153,0.1224,0.09700960219478735,0.332928,4.095,4.095,3.2811999999999997,2.637821050853095,8.925769399836671,1.26,1.26,1.011,0.8170993460002576,2.7492463685099517,1.551,1.551,1.3413999999999997,1.2459163365466712,3.5528182047989754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.925418687263985,46.92541868726399,49.53775515461119,1101.0,1101.0,1122.0,26.5,8.0,17.725,1.925,1.65,2.45,0.0,2.45,0.0,0
41,4006622.0,46.08538678358935,0.002192295646727216,0.0028186658315064203,6.230504227998748,2.758847478860006,0.7547760726589414,0.9138740995928594,40,232.0,616.0,198.0,10,0,26,0,0,0,19,118.0,831.0,0,188.0,170.0,0,481.0,0,0,22,0,17,0,0,42.539,30.222333333333335,27.759000000000004,21.87204968262361,74.19468902209127,1.536,1.1586666666666667,1.0832000000000002,0.8242669204679627,2.8033217852104704,3.156,1.278,0.9024000000000001,0.9719178168277576,3.652823624191181,21.168,17.520666666666667,16.791199999999996,12.638540017643034,41.724584469698144,0.861,0.389,0.2946,0.2667852461515013,1.0607568,6.093,4.761,4.4946,3.4056385951079626,11.448461639902003,1.743,1.421,1.3566,1.0228550468890893,3.392547821105971,7.982,3.6946666666666665,2.8372,2.7428238173140773,10.113690922879385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.3983889339963,46.08307543617476,46.420012736610445,1210.0,1137.3333333333333,1122.8,23.0,10.0,16.619999999999997,1.3800000000000001,0.0,0.0,0.0,0.0,0.0,0
42,13000503.981192986,53.232931164903036,0.0005673222390317701,0.000661875945537065,6.317038577912254,3.072428139183056,0.7097201210287444,0.902231467473525,72,902.0,1363.0,438.0,13,0,34,0,0,0,29,310.0,2289.0,2,927.0,1148.0,0,2226.0,0,0,28,0,47,1,0,42.539,36.38066666666667,31.454,26.464705308707252,87.05581341325475,1.536,1.3473333333333333,1.1964000000000001,0.9824298270306377,3.2179930711262825,3.156,2.217,1.4658,1.457269413088256,5.347694174514709,21.168,19.34433333333333,17.885399999999997,14.533975569277917,46.202750681818884,0.861,0.625,0.43620000000000003,0.39883296922894546,1.49745408,6.093,5.427,4.8942,4.0028300184173045,12.962076983941202,1.743,1.582,1.4532,1.182887258691514,3.778528692663583,7.982,5.838333333333334,4.1234,3.907085191244282,14.050214553727631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.3983889339963,45.24073218508553,45.914606785956906,1210.0,1173.6666666666667,1144.6,24.5,4.5,14.3,4.1,0.4,0.0,0.0,0.0,0.0,0
43,4437520.110548649,44.83216661672195,0.0,0.0,6.949056038357806,2.8207971231645192,0.7746478873239436,0.9029068025172311,46,283.0,585.0,229.0,9,0,23,0,0,0,22,140.0,598.0,1,234.0,185.0,0,594.0,0,0,24,0,22,0,0,42.539,42.539,35.149,30.036770795661198,94.77248804795286,1.536,1.5360000000000003,1.3096,1.1054454210238294,3.4667958426757695,3.156,3.156,2.0292000000000003,1.8347650990686435,6.364616504708826,21.168,21.168,18.979599999999998,16.00820322054949,48.88965040909133,0.861,0.8610000000000001,0.5778,0.5015367538447354,1.759472448,6.093,6.093,5.293799999999999,4.4673122365467925,13.870246190364721,1.743,1.743,1.5498,1.3073567567600666,4.01011721559815,7.982,7.981999999999999,5.4096,4.81262181541222,16.412128732236578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.3983889339963,44.3983889339963,45.40920083530337,1210.0,1210.0,1166.4,22.0,9.0,15.679999999999998,2.3199999999999994,0.0,0.8400000000000001,0.0,0.8400000000000001,0.0,0
44,5301994.50150659,46.59668904287604,0.00281507145950628,0.0036812472932005198,6.510610653962755,3.0203551320918147,0.7791251624079688,0.9192291035080121,44,331.0,676.0,251.0,12,0,20,0,0,0,23,144.0,745.0,0,279.0,939.0,0,703.0,0,0,30,0,24,1,0,42.539,42.539,38.844,32.81504395218093,99.40249282877173,1.536,1.5360000000000003,1.4228,1.2011242163518674,3.6160775056054617,3.156,3.156,2.5926,2.1283728548311673,6.974769902825296,21.168,21.168,20.0738,17.15482472709405,50.5017902454548,0.861,0.8610000000000001,0.7194,0.5814174752125719,1.9166834687999998,6.093,6.093,5.6934,4.8285761839808385,14.415147714218833,1.743,1.743,1.6464000000000003,1.4041663663689408,4.14907032935889,7.982,7.982,6.6958,5.516928078653948,17.82927723934195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.3983889339963,44.3983889339963,44.90379488464984,1210.0,1210.0,1188.2,16.0,2.0,10.9,7.1,0.0,0.9,0.0,0.9,0.0,0
45,5904660.0,48.275112301670255,0.00164846486709252,0.00247269730063878,6.164434370492478,2.9078920255512055,0.781166288893468,0.9109828971770039,36,321.0,638.0,216.0,15,0,21,0,0,0,29,142.0,791.0,0,259.0,1294.0,0,684.0,0,0,29,0,14,0,0,10.243,31.773666666666667,36.0798,27.799034185029612,69.88449569726303,0.844,1.3053333333333332,1.3976000000000002,1.1217632793847858,3.013646503363277,0.255,2.189,2.5758,1.7120677759797969,4.4398619416951774,2.834,15.056666666666667,17.5012,13.97241923218426,33.13507414727288,0.034,0.5853333333333334,0.6956,0.4597691473875559,1.1840100812799998,3.912,5.366,5.6568,4.624892587540653,12.561088628531298,1.319,1.6016666666666666,1.6582000000000001,1.385240507175843,3.808442197615334,1.044,5.669333333333334,6.5944,4.522944061175293,11.74156634360517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.99999999999999,45.2655926226642,44.918711147197044,1233.0,1217.6666666666667,1214.6,23.0,5.0,13.919999999999998,4.08,0.0,1.72,0.0,1.72,0.0,2
